epoch,lr-SGD,lr-SGD-1,lr-SGD-1-momentum,lr-SGD-momentum,step,train/data_time,train/iter_time,train/loss,train/total_loss,val/accuracy,validation/data_time,validation/iter_time
60,,,,,304,,,0.02562195435166359,0.02562195435166359,,,
60,,,,,304,0.020289957523345947,11.338651657104492,,,,,
,0.00145,0.00145,0.9,0.9,305,,,,,,,
61,,,,,309,,,0.060457102954387665,0.060457102954387665,,,
61,,,,,309,0.012644410133361816,11.109518051147461,,,,,
,0.00145,0.00145,0.9,0.9,310,,,,,,,
62,,,,,314,,,0.018071582540869713,0.018071582540869713,,,
62,,,,,314,0.014133751392364502,11.135746955871582,,,,,
,0.00145,0.00145,0.9,0.9,315,,,,,,,
63,,,,,319,,,0.004215520340949297,0.004215520340949297,,,
63,,,,,319,,,,,1.0,0.016586124897003174,1.755890965461731
63,,,,,319,0.014149188995361328,11.235748291015625,,,,,
,0.00145,0.00145,0.9,0.9,320,,,,,,,
64,,,,,324,,,0.020359309390187263,0.020359309390187263,,,
64,,,,,324,0.01193392276763916,11.259381294250488,,,,,
,0.00145,0.00145,0.9,0.9,325,,,,,,,
65,,,,,329,,,0.013658173382282257,0.013658173382282257,,,
65,,,,,329,0.01761305332183838,11.697656631469727,,,,,
,0.00145,0.00145,0.9,0.9,330,,,,,,,
66,,,,,334,,,0.01108416635543108,0.01108416635543108,,,
66,,,,,334,0.017920494079589844,11.874492645263672,,,,,
,0.00145,0.00145,0.9,0.9,335,,,,,,,
67,,,,,339,,,0.041556958109140396,0.041556958109140396,,,
67,,,,,339,,,,,1.0,0.01971501111984253,1.7754456996917725
67,,,,,339,0.01705414056777954,11.21749496459961,,,,,
